Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.703,0.851,0.887,0.932,0.958,0.964,56.7,10.0,2.2,0.0,3.2,0.0
10,0.402,0.607,0.698,0.811,0.879,0.908,86.7,73.3,66.7,33.3,12.7,3.2
11,0.396,0.600,0.690,0.808,0.878,0.906,86.7,73.3,68.9,33.3,12.7,3.2
12,0.390,0.593,0.685,0.804,0.877,0.904,90.0,73.3,68.9,35.6,12.7,4.8
13,0.389,0.587,0.680,0.799,0.873,0.904,90.0,73.3,68.9,42.2,14.3,3.2
14,0.385,0.581,0.675,0.796,0.871,0.903,90.0,73.3,68.9,42.2,15.9,4.8
15,0.380,0.576,0.668,0.794,0.871,0.902,90.0,73.3,71.1,42.2,15.9,4.8
16,0.376,0.571,0.664,0.793,0.869,0.901,90.0,73.3,71.1,42.2,15.9,6.3
17,0.372,0.569,0.660,0.791,0.867,0.899,90.0,73.3,71.1,42.2,15.9,7.9
18,0.370,0.555,0.656,0.789,0.863,0.898,90.0,76.7,73.3,42.2,15.9,7.9
19,0.367,0.542,0.652,0.789,0.863,0.897,90.0,80.0,75.6,42.2,15.9,7.9
2,0.510,0.727,0.787,0.864,0.913,0.932,83.3,56.7,44.4,15.6,7.9,1.6
20,0.364,0.538,0.649,0.787,0.862,0.896,90.0,80.0,75.6,42.2,15.9,7.9
21,0.362,0.534,0.646,0.785,0.861,0.895,90.0,80.0,73.3,44.4,17.5,7.9
22,0.359,0.530,0.644,0.782,0.861,0.895,90.0,80.0,73.3,44.4,17.5,7.9
23,0.357,0.527,0.640,0.781,0.856,0.895,90.0,80.0,73.3,44.4,17.5,7.9
24,0.354,0.524,0.637,0.779,0.848,0.894,90.0,80.0,73.3,44.4,19.0,7.9
25,0.351,0.521,0.633,0.778,0.846,0.893,90.0,80.0,73.3,44.4,19.0,7.9
26,0.349,0.518,0.631,0.777,0.847,0.894,90.0,80.0,73.3,44.4,19.0,9.5
27,0.346,0.515,0.628,0.774,0.846,0.893,90.0,80.0,73.3,44.4,19.0,11.1
28,0.345,0.512,0.619,0.774,0.844,0.892,90.0,80.0,75.6,44.4,19.0,11.1
29,0.344,0.509,0.616,0.771,0.842,0.891,90.0,80.0,75.6,46.7,20.6,11.1
3,0.485,0.705,0.768,0.850,0.907,0.925,83.3,60.0,48.9,17.8,11.1,1.6
30,0.342,0.507,0.613,0.770,0.842,0.890,90.0,80.0,77.8,46.7,20.6,12.7
31,0.340,0.504,0.611,0.771,0.839,0.890,90.0,80.0,80.0,46.7,20.6,12.7
32,0.339,0.502,0.608,0.769,0.840,0.890,90.0,80.0,80.0,46.7,20.6,12.7
33,0.337,0.500,0.606,0.767,0.840,0.890,90.0,80.0,80.0,46.7,20.6,14.3
34,0.336,0.498,0.605,0.766,0.839,0.889,90.0,80.0,80.0,46.7,20.6,14.3
35,0.336,0.496,0.602,0.765,0.839,0.890,90.0,83.3,80.0,46.7,20.6,12.7
36,0.335,0.488,0.601,0.759,0.838,0.888,90.0,83.3,80.0,46.7,20.6,12.7
37,0.334,0.486,0.598,0.758,0.837,0.888,90.0,83.3,80.0,46.7,20.6,12.7
38,0.332,0.484,0.596,0.758,0.835,0.887,90.0,83.3,80.0,46.7,20.6,14.3
39,0.331,0.482,0.594,0.757,0.835,0.887,90.0,83.3,80.0,46.7,20.6,14.3
4,0.468,0.686,0.754,0.841,0.905,0.921,83.3,60.0,53.3,22.2,11.1,1.6
40,0.330,0.480,0.593,0.756,0.835,0.886,90.0,83.3,80.0,46.7,20.6,14.3
41,0.329,0.479,0.591,0.755,0.834,0.885,90.0,83.3,80.0,46.7,20.6,14.3
42,0.328,0.477,0.589,0.754,0.838,0.884,90.0,83.3,80.0,46.7,22.2,14.3
5,0.455,0.667,0.741,0.834,0.902,0.919,83.3,63.3,60.0,22.2,11.1,1.6
6,0.444,0.656,0.730,0.828,0.898,0.916,83.3,70.0,62.2,24.4,11.1,1.6
7,0.434,0.637,0.720,0.823,0.890,0.912,83.3,73.3,66.7,26.7,11.1,1.6
8,0.417,0.627,0.711,0.821,0.885,0.910,86.7,73.3,68.9,26.7,11.1,1.6
9,0.409,0.613,0.704,0.816,0.882,0.909,86.7,73.3,68.9,31.1,12.7,3.2
