Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.692,0.835,0.875,0.933,0.954,0.961,60.0,16.7,6.7,0.0,3.2,0.0
10,0.258,0.348,0.384,0.602,0.775,0.825,90.0,86.7,95.6,68.9,34.9,30.2
2,0.522,0.695,0.762,0.859,0.923,0.923,83.3,60.0,48.9,15.6,7.9,4.8
3,0.448,0.602,0.673,0.807,0.891,0.896,83.3,73.3,73.3,33.3,17.5,11.1
4,0.390,0.538,0.599,0.763,0.865,0.879,83.3,76.7,80.0,51.1,23.8,14.3
5,0.359,0.492,0.548,0.723,0.841,0.865,83.3,76.7,86.7,57.8,30.2,17.5
6,0.338,0.438,0.502,0.691,0.824,0.853,86.7,80.0,88.9,57.8,31.7,20.6
7,0.318,0.404,0.461,0.666,0.806,0.844,86.7,86.7,93.3,62.2,36.5,25.4
8,0.305,0.379,0.431,0.644,0.793,0.838,86.7,86.7,93.3,64.4,36.5,28.6
9,0.294,0.362,0.406,0.623,0.783,0.830,86.7,86.7,93.3,66.7,36.5,30.2
