Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.640,0.796,0.827,0.892,0.940,0.954,76.7,43.3,22.2,4.4,3.2,0.0
10,0.373,0.528,0.547,0.712,0.833,0.884,86.7,80.0,86.7,60.0,30.2,17.5
11,0.366,0.521,0.534,0.704,0.828,0.882,86.7,80.0,86.7,62.2,33.3,19.0
12,0.360,0.513,0.525,0.696,0.822,0.877,86.7,80.0,88.9,64.4,33.3,19.0
13,0.354,0.505,0.516,0.688,0.818,0.874,86.7,83.3,88.9,64.4,33.3,19.0
14,0.349,0.498,0.507,0.678,0.816,0.871,86.7,83.3,88.9,66.7,33.3,19.0
15,0.345,0.492,0.498,0.671,0.810,0.868,86.7,83.3,88.9,66.7,33.3,20.6
16,0.340,0.486,0.490,0.665,0.805,0.865,86.7,83.3,88.9,66.7,33.3,20.6
17,0.336,0.480,0.483,0.659,0.801,0.862,86.7,83.3,88.9,68.9,34.9,22.2
18,0.334,0.475,0.475,0.653,0.797,0.861,86.7,83.3,91.1,71.1,36.5,22.2
19,0.331,0.470,0.469,0.647,0.793,0.859,86.7,83.3,91.1,71.1,39.7,23.8
2,0.480,0.647,0.681,0.805,0.893,0.918,83.3,66.7,68.9,42.2,12.7,6.3
20,0.328,0.465,0.462,0.641,0.790,0.856,86.7,83.3,93.3,71.1,39.7,23.8
21,0.325,0.460,0.456,0.636,0.786,0.854,86.7,83.3,93.3,71.1,39.7,23.8
22,0.322,0.456,0.450,0.633,0.783,0.852,86.7,83.3,93.3,73.3,39.7,23.8
23,0.319,0.452,0.445,0.628,0.782,0.850,86.7,83.3,93.3,73.3,41.3,25.4
24,0.317,0.444,0.439,0.618,0.778,0.847,86.7,86.7,93.3,75.6,41.3,25.4
25,0.314,0.440,0.434,0.614,0.778,0.845,86.7,86.7,93.3,75.6,41.3,25.4
26,0.312,0.428,0.430,0.612,0.775,0.843,86.7,90.0,93.3,75.6,41.3,25.4
27,0.310,0.425,0.426,0.608,0.772,0.841,86.7,90.0,93.3,77.8,44.4,25.4
28,0.308,0.422,0.424,0.604,0.770,0.840,90.0,90.0,95.6,77.8,44.4,25.4
29,0.307,0.419,0.420,0.601,0.766,0.838,90.0,90.0,95.6,77.8,44.4,27.0
3,0.465,0.621,0.660,0.792,0.885,0.913,83.3,73.3,73.3,44.4,12.7,7.9
30,0.305,0.416,0.416,0.597,0.764,0.836,90.0,90.0,95.6,77.8,44.4,27.0
31,0.303,0.414,0.413,0.593,0.761,0.835,90.0,90.0,95.6,80.0,46.0,27.0
32,0.302,0.411,0.409,0.589,0.759,0.833,90.0,90.0,95.6,80.0,47.6,27.0
33,0.300,0.410,0.407,0.587,0.756,0.831,90.0,90.0,95.6,77.8,47.6,27.0
34,0.299,0.407,0.404,0.584,0.756,0.830,90.0,90.0,95.6,80.0,49.2,27.0
35,0.298,0.405,0.402,0.581,0.754,0.828,90.0,90.0,95.6,80.0,49.2,27.0
36,0.297,0.403,0.399,0.574,0.754,0.827,90.0,90.0,95.6,80.0,49.2,27.0
37,0.295,0.402,0.393,0.571,0.752,0.826,90.0,90.0,97.8,80.0,49.2,27.0
38,0.294,0.400,0.390,0.568,0.750,0.827,90.0,90.0,97.8,80.0,49.2,25.4
39,0.293,0.398,0.387,0.565,0.748,0.827,90.0,90.0,97.8,80.0,47.6,25.4
4,0.452,0.603,0.640,0.779,0.877,0.909,83.3,73.3,80.0,46.7,14.3,7.9
40,0.292,0.397,0.384,0.566,0.746,0.826,90.0,90.0,97.8,77.8,47.6,25.4
41,0.291,0.391,0.382,0.563,0.747,0.824,90.0,90.0,97.8,77.8,46.0,25.4
42,0.290,0.388,0.379,0.561,0.745,0.823,90.0,90.0,97.8,77.8,46.0,27.0
5,0.440,0.581,0.623,0.767,0.870,0.904,83.3,76.7,80.0,48.9,19.0,9.5
6,0.420,0.570,0.604,0.751,0.860,0.900,86.7,76.7,80.0,53.3,22.2,11.1
7,0.411,0.557,0.589,0.740,0.853,0.896,86.7,76.7,80.0,53.3,23.8,15.9
8,0.389,0.546,0.575,0.730,0.848,0.892,86.7,80.0,80.0,53.3,23.8,15.9
9,0.381,0.535,0.559,0.721,0.837,0.886,86.7,80.0,84.4,57.8,28.6,17.5
