Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.640,0.796,0.827,0.892,0.940,0.954,76.7,43.3,22.2,4.4,3.2,0.0
10,0.373,0.530,0.547,0.712,0.832,0.883,86.7,80.0,86.7,60.0,31.7,17.5
11,0.366,0.522,0.535,0.704,0.828,0.879,86.7,80.0,88.9,60.0,33.3,17.5
12,0.360,0.513,0.526,0.693,0.822,0.874,86.7,80.0,88.9,66.7,33.3,19.0
13,0.354,0.506,0.518,0.686,0.819,0.873,86.7,80.0,88.9,66.7,33.3,19.0
14,0.349,0.499,0.509,0.678,0.817,0.870,86.7,83.3,88.9,66.7,33.3,19.0
15,0.344,0.493,0.500,0.671,0.813,0.867,86.7,83.3,88.9,66.7,33.3,20.6
16,0.340,0.487,0.492,0.665,0.808,0.864,86.7,83.3,88.9,66.7,33.3,20.6
17,0.338,0.481,0.484,0.659,0.802,0.863,86.7,83.3,88.9,71.1,34.9,22.2
18,0.334,0.476,0.477,0.653,0.798,0.860,86.7,83.3,88.9,71.1,34.9,23.8
19,0.330,0.471,0.469,0.647,0.794,0.857,86.7,83.3,91.1,71.1,36.5,23.8
2,0.480,0.647,0.683,0.805,0.891,0.918,83.3,66.7,68.9,42.2,12.7,6.3
20,0.327,0.466,0.462,0.641,0.790,0.856,86.7,83.3,93.3,71.1,36.5,23.8
21,0.324,0.461,0.456,0.636,0.787,0.853,86.7,83.3,93.3,71.1,39.7,23.8
22,0.321,0.460,0.450,0.626,0.783,0.851,86.7,83.3,93.3,75.6,39.7,25.4
23,0.319,0.456,0.445,0.622,0.781,0.849,86.7,83.3,93.3,75.6,39.7,25.4
24,0.316,0.453,0.440,0.620,0.780,0.847,86.7,83.3,93.3,75.6,41.3,25.4
25,0.314,0.449,0.435,0.615,0.777,0.845,86.7,83.3,93.3,75.6,41.3,25.4
26,0.312,0.435,0.430,0.613,0.775,0.843,90.0,86.7,93.3,75.6,41.3,25.4
27,0.310,0.426,0.428,0.609,0.772,0.841,90.0,90.0,93.3,75.6,42.9,25.4
28,0.308,0.423,0.424,0.605,0.769,0.839,90.0,90.0,95.6,77.8,42.9,25.4
29,0.306,0.420,0.420,0.601,0.767,0.838,90.0,90.0,95.6,77.8,42.9,25.4
3,0.465,0.621,0.660,0.792,0.885,0.914,83.3,73.3,73.3,44.4,12.7,7.9
30,0.304,0.417,0.417,0.597,0.764,0.836,90.0,90.0,95.6,77.8,42.9,25.4
31,0.303,0.415,0.413,0.593,0.762,0.834,90.0,90.0,95.6,77.8,46.0,25.4
32,0.301,0.412,0.411,0.590,0.759,0.832,90.0,90.0,95.6,80.0,46.0,27.0
33,0.300,0.411,0.407,0.586,0.757,0.831,90.0,90.0,95.6,80.0,46.0,27.0
34,0.298,0.408,0.405,0.583,0.756,0.829,90.0,90.0,95.6,80.0,46.0,27.0
35,0.297,0.407,0.402,0.580,0.754,0.829,90.0,90.0,95.6,80.0,47.6,27.0
36,0.296,0.405,0.399,0.579,0.752,0.827,90.0,90.0,95.6,80.0,47.6,27.0
37,0.295,0.403,0.396,0.576,0.750,0.826,90.0,90.0,95.6,80.0,47.6,27.0
38,0.293,0.401,0.393,0.574,0.750,0.824,90.0,90.0,95.6,80.0,46.0,27.0
39,0.292,0.396,0.390,0.569,0.748,0.823,90.0,90.0,95.6,80.0,47.6,27.0
4,0.452,0.603,0.641,0.779,0.876,0.909,83.3,73.3,80.0,46.7,14.3,7.9
40,0.291,0.394,0.387,0.562,0.745,0.821,90.0,90.0,95.6,80.0,49.2,27.0
41,0.290,0.391,0.385,0.560,0.743,0.822,90.0,90.0,95.6,80.0,49.2,28.6
42,0.289,0.389,0.382,0.557,0.741,0.817,90.0,90.0,95.6,80.0,49.2,28.6
5,0.440,0.584,0.623,0.767,0.870,0.904,83.3,76.7,80.0,51.1,19.0,9.5
6,0.420,0.570,0.604,0.751,0.859,0.900,86.7,76.7,80.0,53.3,22.2,9.5
7,0.411,0.558,0.589,0.740,0.853,0.896,86.7,76.7,80.0,53.3,23.8,15.9
8,0.389,0.549,0.575,0.731,0.845,0.892,86.7,76.7,80.0,53.3,25.4,15.9
9,0.381,0.540,0.559,0.721,0.838,0.886,86.7,80.0,84.4,57.8,28.6,17.5
