Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.857,0.934,0.948,0.974,0.976,0.986,13.3,0.0,0.0,0.0,1.6,0.0
10,0.362,0.474,0.548,0.719,0.847,0.863,86.7,80.0,82.2,57.8,28.6,20.6
11,0.351,0.456,0.525,0.703,0.840,0.856,86.7,80.0,86.7,57.8,30.2,23.8
12,0.341,0.441,0.504,0.689,0.830,0.850,86.7,80.0,88.9,57.8,31.7,25.4
13,0.332,0.427,0.482,0.676,0.822,0.845,86.7,80.0,88.9,60.0,33.3,25.4
14,0.325,0.406,0.465,0.663,0.810,0.844,86.7,86.7,91.1,60.0,34.9,28.6
15,0.318,0.388,0.449,0.652,0.800,0.841,86.7,90.0,93.3,64.4,34.9,30.2
16,0.312,0.375,0.434,0.641,0.793,0.838,86.7,90.0,95.6,64.4,34.9,31.7
17,0.274,0.366,0.421,0.631,0.787,0.834,90.0,90.0,95.6,64.4,34.9,31.7
18,0.269,0.358,0.409,0.622,0.781,0.828,90.0,90.0,95.6,66.7,34.9,31.7
19,0.264,0.355,0.398,0.614,0.771,0.824,90.0,86.7,95.6,66.7,38.1,31.7
2,0.699,0.828,0.879,0.931,0.958,0.958,63.3,26.7,4.4,0.0,1.6,0.0
20,0.260,0.348,0.387,0.606,0.753,0.822,90.0,86.7,95.6,66.7,39.7,31.7
3,0.593,0.749,0.817,0.888,0.941,0.933,76.7,56.7,24.4,6.7,3.2,1.6
4,0.522,0.687,0.763,0.857,0.925,0.919,83.3,63.3,51.1,17.8,7.9,4.8
5,0.470,0.636,0.714,0.831,0.909,0.904,83.3,66.7,64.4,26.7,9.5,6.3
6,0.438,0.588,0.671,0.806,0.893,0.893,83.3,73.3,71.1,35.6,17.5,11.1
7,0.413,0.549,0.633,0.777,0.877,0.884,83.3,76.7,75.6,48.9,20.6,14.3
8,0.393,0.520,0.601,0.757,0.865,0.877,83.3,80.0,77.8,51.1,23.8,19.0
9,0.376,0.495,0.572,0.737,0.856,0.870,86.7,80.0,80.0,55.6,25.4,20.6
