Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.693,0.855,0.885,0.934,0.957,0.968,60.0,13.3,0.0,0.0,3.2,0.0
10,0.372,0.581,0.640,0.778,0.882,0.894,90.0,76.7,75.6,48.9,17.5,12.7
11,0.362,0.569,0.629,0.770,0.874,0.890,90.0,76.7,75.6,48.9,17.5,12.7
12,0.353,0.555,0.609,0.758,0.867,0.887,90.0,76.7,77.8,51.1,20.6,12.7
13,0.344,0.544,0.596,0.747,0.863,0.885,90.0,76.7,77.8,55.6,20.6,12.7
14,0.336,0.534,0.586,0.740,0.859,0.882,90.0,76.7,80.0,55.6,23.8,12.7
15,0.328,0.525,0.572,0.733,0.855,0.880,90.0,76.7,80.0,57.8,25.4,14.3
16,0.321,0.515,0.561,0.724,0.852,0.876,90.0,76.7,80.0,60.0,27.0,15.9
17,0.314,0.507,0.549,0.717,0.848,0.874,90.0,76.7,80.0,60.0,28.6,17.5
18,0.308,0.499,0.540,0.710,0.844,0.872,90.0,76.7,80.0,60.0,28.6,22.2
19,0.302,0.492,0.530,0.703,0.837,0.868,90.0,76.7,80.0,60.0,30.2,23.8
2,0.509,0.727,0.779,0.858,0.927,0.931,83.3,56.7,40.0,15.6,7.9,1.6
20,0.296,0.484,0.521,0.690,0.823,0.866,90.0,76.7,80.0,62.2,33.3,23.8
21,0.291,0.477,0.512,0.684,0.818,0.864,90.0,76.7,82.2,62.2,33.3,23.8
22,0.286,0.461,0.504,0.677,0.815,0.859,90.0,80.0,82.2,64.4,34.9,25.4
23,0.281,0.454,0.495,0.671,0.813,0.856,90.0,83.3,84.4,64.4,33.3,25.4
24,0.276,0.447,0.487,0.663,0.810,0.855,90.0,83.3,84.4,66.7,33.3,25.4
25,0.272,0.441,0.480,0.657,0.806,0.853,90.0,83.3,84.4,66.7,33.3,25.4
26,0.268,0.435,0.472,0.653,0.801,0.852,90.0,83.3,84.4,68.9,34.9,27.0
27,0.264,0.430,0.466,0.646,0.798,0.850,90.0,83.3,91.1,68.9,36.5,28.6
28,0.261,0.425,0.459,0.641,0.792,0.848,90.0,83.3,91.1,68.9,38.1,28.6
29,0.258,0.420,0.452,0.634,0.789,0.847,90.0,83.3,91.1,71.1,39.7,28.6
3,0.478,0.708,0.758,0.847,0.924,0.927,83.3,56.7,48.9,17.8,7.9,1.6
30,0.255,0.415,0.446,0.628,0.787,0.845,90.0,83.3,91.1,71.1,39.7,28.6
31,0.252,0.410,0.439,0.623,0.783,0.844,90.0,83.3,91.1,71.1,42.9,28.6
32,0.249,0.405,0.433,0.618,0.775,0.843,90.0,83.3,93.3,71.1,44.4,28.6
33,0.246,0.401,0.427,0.614,0.771,0.842,90.0,83.3,93.3,71.1,44.4,28.6
34,0.243,0.397,0.422,0.609,0.768,0.839,90.0,83.3,91.1,71.1,44.4,30.2
35,0.240,0.393,0.417,0.604,0.766,0.838,90.0,83.3,91.1,71.1,44.4,30.2
36,0.238,0.389,0.412,0.600,0.763,0.836,90.0,83.3,93.3,71.1,44.4,30.2
37,0.235,0.385,0.406,0.597,0.761,0.834,90.0,83.3,93.3,71.1,44.4,30.2
38,0.233,0.382,0.401,0.592,0.758,0.833,90.0,83.3,93.3,71.1,44.4,30.2
39,0.231,0.378,0.396,0.586,0.756,0.832,93.3,83.3,93.3,71.1,44.4,30.2
4,0.461,0.690,0.740,0.837,0.918,0.922,83.3,56.7,57.8,20.0,9.5,1.6
40,0.228,0.375,0.392,0.581,0.753,0.831,93.3,83.3,93.3,73.3,44.4,30.2
41,0.226,0.372,0.387,0.578,0.751,0.829,93.3,83.3,93.3,73.3,44.4,30.2
42,0.224,0.369,0.383,0.574,0.749,0.828,93.3,83.3,93.3,75.6,44.4,31.7
5,0.445,0.673,0.720,0.827,0.911,0.916,83.3,63.3,62.2,26.7,9.5,3.2
6,0.430,0.647,0.698,0.818,0.904,0.911,83.3,66.7,68.9,33.3,9.5,6.3
7,0.406,0.633,0.681,0.808,0.899,0.907,86.7,66.7,71.1,37.8,11.1,9.5
8,0.394,0.614,0.666,0.799,0.894,0.903,86.7,70.0,73.3,42.2,14.3,11.1
9,0.382,0.601,0.652,0.788,0.889,0.898,90.0,70.0,73.3,44.4,14.3,11.1
