Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.644,0.800,0.827,0.891,0.943,0.957,73.3,43.3,24.4,4.4,3.2,0.0
10,0.370,0.530,0.546,0.713,0.841,0.887,86.7,80.0,82.2,62.2,30.2,15.9
11,0.363,0.520,0.536,0.705,0.837,0.884,86.7,80.0,86.7,62.2,30.2,15.9
12,0.357,0.512,0.523,0.697,0.832,0.881,86.7,83.3,86.7,62.2,30.2,19.0
13,0.351,0.504,0.514,0.689,0.827,0.878,86.7,83.3,86.7,64.4,30.2,20.6
14,0.345,0.497,0.504,0.676,0.822,0.875,86.7,83.3,86.7,64.4,30.2,20.6
15,0.340,0.490,0.496,0.669,0.816,0.873,86.7,83.3,86.7,64.4,30.2,20.6
16,0.336,0.483,0.487,0.660,0.813,0.871,86.7,83.3,86.7,64.4,30.2,20.6
17,0.332,0.477,0.480,0.653,0.799,0.868,86.7,83.3,86.7,66.7,33.3,22.2
18,0.328,0.471,0.472,0.647,0.795,0.867,86.7,83.3,86.7,66.7,33.3,20.6
19,0.324,0.466,0.465,0.641,0.792,0.865,86.7,83.3,88.9,66.7,36.5,20.6
2,0.481,0.644,0.686,0.803,0.897,0.922,83.3,70.0,66.7,42.2,11.1,6.3
20,0.321,0.461,0.461,0.635,0.790,0.863,86.7,83.3,91.1,66.7,36.5,20.6
21,0.317,0.456,0.455,0.630,0.786,0.860,86.7,83.3,91.1,66.7,38.1,20.6
22,0.316,0.452,0.449,0.616,0.783,0.858,86.7,83.3,93.3,71.1,38.1,20.6
23,0.313,0.435,0.443,0.608,0.779,0.856,86.7,86.7,93.3,71.1,39.7,22.2
24,0.311,0.431,0.438,0.603,0.776,0.854,86.7,86.7,93.3,73.3,39.7,22.2
25,0.308,0.427,0.433,0.595,0.770,0.850,86.7,86.7,93.3,75.6,39.7,23.8
26,0.306,0.423,0.428,0.586,0.766,0.848,86.7,86.7,93.3,77.8,39.7,25.4
27,0.304,0.420,0.423,0.582,0.766,0.847,86.7,86.7,93.3,77.8,39.7,25.4
28,0.301,0.417,0.419,0.577,0.763,0.845,90.0,86.7,93.3,77.8,39.7,25.4
29,0.299,0.414,0.415,0.574,0.754,0.843,90.0,86.7,93.3,77.8,41.3,25.4
3,0.466,0.628,0.663,0.789,0.890,0.918,83.3,73.3,73.3,44.4,14.3,6.3
30,0.297,0.409,0.411,0.570,0.755,0.836,90.0,86.7,93.3,77.8,41.3,27.0
31,0.296,0.406,0.409,0.566,0.752,0.835,90.0,86.7,93.3,77.8,41.3,27.0
32,0.294,0.403,0.407,0.562,0.750,0.833,90.0,86.7,93.3,77.8,41.3,28.6
33,0.292,0.399,0.405,0.560,0.746,0.831,90.0,86.7,93.3,77.8,41.3,28.6
34,0.291,0.396,0.394,0.556,0.744,0.830,90.0,86.7,95.6,80.0,41.3,28.6
35,0.289,0.394,0.390,0.552,0.742,0.828,90.0,86.7,95.6,80.0,41.3,28.6
36,0.288,0.392,0.387,0.549,0.740,0.826,90.0,86.7,95.6,80.0,41.3,28.6
37,0.286,0.390,0.384,0.546,0.736,0.825,90.0,86.7,95.6,80.0,41.3,28.6
38,0.285,0.387,0.381,0.542,0.733,0.823,90.0,90.0,95.6,80.0,42.9,28.6
39,0.284,0.385,0.378,0.539,0.731,0.822,90.0,90.0,95.6,80.0,42.9,28.6
4,0.452,0.612,0.642,0.774,0.882,0.913,83.3,73.3,75.6,48.9,15.9,7.9
40,0.283,0.383,0.377,0.540,0.731,0.822,93.3,90.0,95.6,80.0,42.9,28.6
41,0.282,0.381,0.374,0.537,0.729,0.821,93.3,90.0,95.6,80.0,42.9,28.6
42,0.281,0.379,0.371,0.534,0.727,0.820,93.3,90.0,95.6,80.0,44.4,28.6
5,0.426,0.589,0.625,0.762,0.875,0.907,83.3,80.0,75.6,53.3,19.0,7.9
6,0.415,0.575,0.606,0.752,0.869,0.903,83.3,80.0,77.8,55.6,20.6,7.9
7,0.405,0.562,0.591,0.741,0.862,0.899,83.3,80.0,77.8,57.8,23.8,12.7
8,0.386,0.550,0.577,0.731,0.854,0.894,86.7,80.0,77.8,60.0,27.0,15.9
9,0.378,0.540,0.558,0.722,0.846,0.891,86.7,80.0,80.0,62.2,30.2,15.9
