Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.705,0.858,0.887,0.934,0.957,0.967,63.3,10.0,0.0,0.0,3.2,0.0
10,0.385,0.591,0.661,0.789,0.890,0.896,90.0,76.7,73.3,46.7,15.9,11.1
11,0.377,0.581,0.654,0.785,0.886,0.895,90.0,76.7,73.3,46.7,17.5,11.1
12,0.370,0.572,0.645,0.780,0.883,0.893,90.0,76.7,73.3,46.7,17.5,9.5
13,0.364,0.564,0.630,0.775,0.881,0.890,90.0,76.7,75.6,44.4,17.5,9.5
14,0.358,0.557,0.623,0.770,0.879,0.888,90.0,76.7,75.6,46.7,17.5,12.7
15,0.352,0.550,0.615,0.766,0.875,0.886,90.0,76.7,77.8,46.7,19.0,14.3
16,0.347,0.546,0.607,0.762,0.873,0.885,90.0,76.7,80.0,48.9,19.0,14.3
17,0.342,0.527,0.599,0.757,0.861,0.885,90.0,80.0,80.0,51.1,20.6,14.3
18,0.338,0.521,0.591,0.756,0.859,0.883,90.0,80.0,80.0,48.9,20.6,14.3
19,0.334,0.518,0.585,0.749,0.854,0.882,90.0,80.0,80.0,51.1,22.2,14.3
2,0.511,0.737,0.778,0.862,0.922,0.930,83.3,56.7,42.2,13.3,7.9,1.6
20,0.330,0.511,0.578,0.746,0.853,0.881,90.0,80.0,80.0,51.1,23.8,14.3
21,0.326,0.502,0.572,0.737,0.850,0.879,90.0,80.0,80.0,51.1,23.8,14.3
22,0.323,0.497,0.569,0.734,0.844,0.878,90.0,80.0,80.0,51.1,23.8,14.3
23,0.320,0.490,0.563,0.731,0.842,0.877,90.0,80.0,80.0,53.3,23.8,15.9
24,0.317,0.486,0.558,0.727,0.841,0.875,90.0,80.0,82.2,53.3,23.8,15.9
25,0.314,0.481,0.552,0.724,0.836,0.874,90.0,80.0,82.2,53.3,25.4,15.9
26,0.312,0.477,0.547,0.721,0.830,0.872,90.0,80.0,82.2,53.3,28.6,15.9
27,0.309,0.475,0.543,0.718,0.829,0.870,90.0,80.0,84.4,55.6,30.2,17.5
28,0.307,0.471,0.539,0.715,0.828,0.868,90.0,80.0,84.4,57.8,31.7,19.0
29,0.305,0.468,0.534,0.714,0.827,0.867,90.0,80.0,84.4,55.6,31.7,20.6
3,0.491,0.715,0.760,0.848,0.922,0.924,83.3,56.7,51.1,17.8,9.5,1.6
30,0.303,0.465,0.530,0.712,0.826,0.866,90.0,83.3,84.4,55.6,31.7,20.6
31,0.301,0.465,0.528,0.705,0.824,0.867,90.0,83.3,84.4,57.8,31.7,20.6
32,0.299,0.462,0.524,0.703,0.823,0.864,90.0,83.3,84.4,57.8,31.7,20.6
33,0.297,0.459,0.520,0.700,0.827,0.863,90.0,83.3,86.7,57.8,33.3,20.6
34,0.295,0.456,0.517,0.698,0.819,0.863,90.0,83.3,86.7,57.8,34.9,20.6
35,0.294,0.453,0.513,0.695,0.810,0.862,90.0,83.3,88.9,57.8,36.5,20.6
36,0.292,0.450,0.510,0.693,0.807,0.862,90.0,83.3,88.9,60.0,38.1,20.6
37,0.291,0.447,0.507,0.691,0.806,0.861,90.0,83.3,88.9,60.0,38.1,20.6
38,0.289,0.445,0.504,0.689,0.805,0.861,90.0,83.3,91.1,62.2,38.1,20.6
39,0.287,0.442,0.501,0.686,0.803,0.860,90.0,83.3,91.1,62.2,39.7,20.6
4,0.475,0.696,0.743,0.838,0.916,0.915,83.3,56.7,57.8,24.4,9.5,1.6
40,0.286,0.436,0.498,0.678,0.802,0.859,90.0,83.3,91.1,62.2,39.7,20.6
41,0.285,0.434,0.495,0.674,0.799,0.859,90.0,83.3,91.1,62.2,39.7,20.6
42,0.283,0.431,0.492,0.671,0.797,0.858,90.0,83.3,91.1,64.4,39.7,20.6
5,0.450,0.676,0.722,0.830,0.912,0.911,83.3,60.0,62.2,24.4,9.5,4.8
6,0.438,0.652,0.707,0.822,0.906,0.907,83.3,63.3,66.7,26.7,11.1,4.8
7,0.427,0.635,0.695,0.809,0.900,0.903,83.3,70.0,68.9,33.3,11.1,4.8
8,0.407,0.622,0.682,0.802,0.899,0.900,86.7,70.0,73.3,37.8,12.7,7.9
9,0.393,0.602,0.671,0.795,0.892,0.898,90.0,76.7,73.3,42.2,14.3,9.5
