Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.592,0.732,0.768,0.855,0.923,0.944,80.0,56.7,51.1,6.7,6.3,4.8
10,0.436,0.532,0.538,0.702,0.829,0.880,80.0,86.7,84.4,57.8,30.2,17.5
11,0.422,0.526,0.531,0.696,0.827,0.878,83.3,86.7,84.4,57.8,30.2,17.5
12,0.419,0.524,0.525,0.691,0.818,0.876,83.3,86.7,86.7,57.8,33.3,19.0
13,0.417,0.519,0.523,0.683,0.815,0.873,83.3,86.7,86.7,57.8,33.3,19.0
14,0.414,0.512,0.517,0.678,0.812,0.871,83.3,86.7,86.7,57.8,34.9,19.0
15,0.411,0.506,0.512,0.671,0.810,0.869,83.3,86.7,88.9,60.0,34.9,22.2
16,0.413,0.502,0.508,0.667,0.805,0.867,83.3,86.7,88.9,60.0,36.5,22.2
17,0.411,0.499,0.507,0.660,0.803,0.865,83.3,86.7,88.9,64.4,36.5,22.2
18,0.409,0.496,0.503,0.657,0.800,0.863,83.3,86.7,88.9,64.4,36.5,22.2
19,0.407,0.493,0.502,0.655,0.798,0.860,83.3,86.7,91.1,64.4,36.5,20.6
2,0.492,0.616,0.625,0.768,0.870,0.913,80.0,76.7,75.6,51.1,22.2,9.5
20,0.406,0.492,0.499,0.651,0.796,0.859,83.3,86.7,91.1,64.4,36.5,22.2
21,0.405,0.489,0.497,0.648,0.794,0.857,83.3,86.7,91.1,64.4,38.1,23.8
22,0.380,0.487,0.496,0.646,0.794,0.851,86.7,86.7,91.1,64.4,36.5,25.4
23,0.378,0.484,0.493,0.643,0.786,0.849,86.7,86.7,91.1,64.4,38.1,25.4
24,0.377,0.486,0.491,0.640,0.779,0.849,86.7,86.7,91.1,64.4,39.7,25.4
25,0.376,0.484,0.489,0.630,0.779,0.845,86.7,86.7,91.1,68.9,39.7,25.4
26,0.375,0.488,0.486,0.627,0.780,0.843,86.7,86.7,91.1,68.9,39.7,25.4
27,0.377,0.486,0.484,0.627,0.779,0.838,86.7,86.7,91.1,68.9,39.7,28.6
28,0.373,0.484,0.481,0.626,0.776,0.838,86.7,86.7,91.1,68.9,42.9,27.0
29,0.372,0.483,0.479,0.624,0.775,0.837,86.7,86.7,91.1,68.9,42.9,27.0
3,0.480,0.602,0.610,0.757,0.863,0.908,83.3,76.7,77.8,60.0,23.8,11.1
30,0.370,0.481,0.479,0.623,0.774,0.836,86.7,86.7,91.1,68.9,42.9,27.0
31,0.369,0.480,0.479,0.621,0.773,0.835,86.7,86.7,91.1,68.9,42.9,27.0
32,0.373,0.478,0.478,0.619,0.772,0.833,86.7,86.7,91.1,68.9,44.4,27.0
33,0.373,0.478,0.477,0.617,0.771,0.832,86.7,86.7,91.1,68.9,44.4,27.0
34,0.372,0.477,0.476,0.615,0.770,0.827,86.7,86.7,91.1,68.9,44.4,28.6
35,0.371,0.475,0.485,0.615,0.768,0.826,86.7,86.7,88.9,68.9,44.4,30.2
36,0.371,0.474,0.485,0.613,0.767,0.825,86.7,86.7,88.9,68.9,44.4,30.2
37,0.370,0.473,0.483,0.612,0.766,0.823,86.7,90.0,88.9,68.9,44.4,30.2
38,0.369,0.471,0.482,0.610,0.765,0.822,86.7,90.0,88.9,66.7,44.4,30.2
39,0.369,0.470,0.481,0.609,0.766,0.821,86.7,90.0,88.9,66.7,44.4,30.2
4,0.471,0.587,0.596,0.746,0.859,0.904,80.0,80.0,80.0,60.0,25.4,12.7
40,0.368,0.466,0.481,0.607,0.766,0.820,86.7,90.0,88.9,66.7,44.4,30.2
41,0.368,0.465,0.480,0.606,0.765,0.817,86.7,90.0,88.9,66.7,44.4,31.7
42,0.367,0.465,0.479,0.605,0.764,0.816,86.7,90.0,88.9,66.7,44.4,31.7
5,0.463,0.576,0.583,0.736,0.851,0.900,80.0,80.0,82.2,60.0,27.0,12.7
6,0.456,0.570,0.571,0.727,0.848,0.896,80.0,80.0,84.4,60.0,27.0,15.9
7,0.450,0.553,0.561,0.719,0.845,0.890,80.0,83.3,84.4,57.8,27.0,15.9
8,0.445,0.546,0.554,0.712,0.840,0.886,80.0,83.3,84.4,57.8,28.6,17.5
9,0.440,0.539,0.546,0.708,0.833,0.883,80.0,83.3,84.4,57.8,28.6,17.5
