Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.692,0.835,0.875,0.933,0.954,0.961,60.0,16.7,6.7,0.0,3.2,0.0
10,0.409,0.545,0.627,0.784,0.878,0.884,83.3,76.7,75.6,37.8,20.6,14.3
11,0.401,0.534,0.614,0.769,0.871,0.880,83.3,76.7,75.6,46.7,23.8,15.9
12,0.394,0.523,0.602,0.761,0.866,0.877,83.3,76.7,77.8,53.3,23.8,15.9
13,0.387,0.512,0.591,0.754,0.863,0.874,83.3,76.7,77.8,57.8,23.8,20.6
14,0.380,0.506,0.580,0.747,0.859,0.871,86.7,76.7,80.0,57.8,23.8,22.2
15,0.374,0.497,0.569,0.738,0.856,0.869,86.7,76.7,80.0,57.8,23.8,22.2
16,0.368,0.485,0.559,0.731,0.852,0.868,86.7,76.7,82.2,57.8,25.4,22.2
17,0.363,0.477,0.548,0.723,0.848,0.866,86.7,80.0,86.7,57.8,25.4,22.2
18,0.358,0.469,0.539,0.717,0.845,0.863,86.7,80.0,86.7,57.8,25.4,22.2
19,0.353,0.462,0.530,0.711,0.842,0.861,86.7,80.0,86.7,57.8,25.4,22.2
2,0.522,0.695,0.762,0.859,0.923,0.923,83.3,60.0,48.9,15.6,7.9,4.8
20,0.349,0.455,0.522,0.706,0.837,0.860,86.7,80.0,88.9,57.8,25.4,22.2
21,0.345,0.449,0.513,0.700,0.834,0.857,86.7,80.0,88.9,57.8,27.0,22.2
22,0.341,0.443,0.506,0.694,0.830,0.855,86.7,80.0,88.9,57.8,30.2,22.2
23,0.337,0.437,0.500,0.689,0.826,0.853,86.7,80.0,88.9,57.8,30.2,22.2
24,0.333,0.431,0.492,0.685,0.823,0.851,86.7,80.0,91.1,57.8,31.7,23.8
25,0.330,0.418,0.481,0.680,0.820,0.850,86.7,83.3,91.1,57.8,31.7,25.4
26,0.327,0.414,0.474,0.675,0.813,0.849,86.7,83.3,91.1,60.0,33.3,25.4
27,0.324,0.409,0.468,0.670,0.806,0.847,86.7,83.3,91.1,60.0,34.9,27.0
28,0.321,0.404,0.461,0.666,0.803,0.845,86.7,83.3,91.1,60.0,34.9,28.6
29,0.318,0.392,0.455,0.661,0.800,0.843,86.7,86.7,91.1,60.0,34.9,28.6
3,0.505,0.677,0.740,0.849,0.919,0.917,83.3,63.3,55.6,17.8,9.5,4.8
30,0.315,0.387,0.449,0.657,0.798,0.842,86.7,86.7,93.3,62.2,34.9,28.6
31,0.287,0.383,0.444,0.653,0.795,0.841,90.0,86.7,95.6,62.2,34.9,28.6
32,0.285,0.380,0.438,0.649,0.792,0.840,90.0,86.7,95.6,64.4,34.9,30.2
33,0.282,0.376,0.433,0.645,0.778,0.838,90.0,86.7,95.6,64.4,36.5,31.7
34,0.280,0.373,0.427,0.641,0.774,0.837,90.0,86.7,95.6,64.4,38.1,33.3
35,0.278,0.369,0.422,0.637,0.771,0.835,90.0,86.7,95.6,64.4,38.1,33.3
36,0.271,0.366,0.418,0.633,0.769,0.834,90.0,86.7,95.6,66.7,38.1,33.3
37,0.269,0.363,0.413,0.630,0.761,0.833,90.0,86.7,95.6,66.7,39.7,33.3
38,0.256,0.360,0.408,0.623,0.758,0.832,90.0,86.7,95.6,68.9,39.7,33.3
39,0.254,0.358,0.404,0.620,0.756,0.831,90.0,86.7,95.6,68.9,39.7,33.3
4,0.489,0.658,0.722,0.837,0.912,0.911,83.3,66.7,64.4,20.0,9.5,4.8
40,0.253,0.355,0.400,0.616,0.754,0.830,90.0,86.7,95.6,68.9,39.7,33.3
41,0.251,0.352,0.395,0.613,0.752,0.828,90.0,86.7,95.6,68.9,39.7,33.3
42,0.249,0.350,0.391,0.610,0.750,0.826,90.0,86.7,95.6,68.9,39.7,33.3
5,0.475,0.641,0.705,0.828,0.903,0.906,83.3,70.0,64.4,28.9,12.7,7.9
6,0.462,0.625,0.689,0.818,0.898,0.900,83.3,70.0,73.3,31.1,12.7,7.9
7,0.450,0.599,0.675,0.809,0.894,0.895,83.3,73.3,73.3,33.3,14.3,9.5
8,0.440,0.579,0.658,0.800,0.889,0.890,83.3,73.3,73.3,35.6,17.5,14.3
9,0.430,0.564,0.640,0.792,0.881,0.887,83.3,73.3,75.6,37.8,20.6,14.3
