Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.644,0.800,0.827,0.891,0.943,0.957,73.3,43.3,24.4,4.4,3.2,0.0
10,0.370,0.529,0.546,0.713,0.841,0.887,86.7,80.0,82.2,62.2,30.2,15.9
11,0.363,0.520,0.535,0.705,0.837,0.884,86.7,80.0,86.7,62.2,30.2,19.0
12,0.357,0.511,0.525,0.697,0.832,0.880,86.7,83.3,86.7,62.2,30.2,19.0
13,0.351,0.503,0.515,0.689,0.827,0.877,86.7,83.3,86.7,64.4,30.2,19.0
14,0.346,0.496,0.508,0.681,0.822,0.877,86.7,83.3,86.7,64.4,30.2,20.6
15,0.341,0.489,0.497,0.666,0.818,0.874,86.7,83.3,86.7,64.4,30.2,20.6
16,0.336,0.482,0.488,0.659,0.814,0.870,86.7,83.3,86.7,66.7,31.7,20.6
17,0.332,0.476,0.480,0.653,0.799,0.868,86.7,83.3,86.7,66.7,33.3,22.2
18,0.328,0.470,0.473,0.646,0.795,0.867,86.7,83.3,86.7,66.7,33.3,20.6
19,0.324,0.465,0.466,0.640,0.792,0.864,86.7,83.3,88.9,66.7,36.5,20.6
2,0.481,0.644,0.686,0.803,0.897,0.922,83.3,70.0,66.7,42.2,11.1,6.3
20,0.321,0.460,0.460,0.627,0.788,0.862,86.7,83.3,91.1,68.9,36.5,20.6
21,0.318,0.455,0.456,0.622,0.784,0.860,86.7,83.3,93.3,68.9,38.1,22.2
22,0.315,0.451,0.450,0.616,0.781,0.858,86.7,83.3,93.3,71.1,39.7,22.2
23,0.312,0.434,0.444,0.610,0.777,0.856,86.7,86.7,93.3,73.3,39.7,22.2
24,0.310,0.426,0.439,0.602,0.777,0.852,86.7,86.7,93.3,73.3,39.7,23.8
25,0.307,0.422,0.434,0.595,0.773,0.850,86.7,86.7,93.3,75.6,41.3,23.8
26,0.306,0.418,0.428,0.590,0.771,0.848,86.7,86.7,93.3,75.6,39.7,25.4
27,0.304,0.415,0.423,0.585,0.767,0.846,86.7,86.7,93.3,75.6,39.7,25.4
28,0.302,0.416,0.419,0.577,0.758,0.844,86.7,86.7,93.3,77.8,41.3,25.4
29,0.300,0.413,0.418,0.573,0.755,0.843,86.7,86.7,93.3,77.8,41.3,25.4
3,0.466,0.624,0.662,0.788,0.890,0.918,83.3,73.3,73.3,44.4,14.3,6.3
30,0.298,0.406,0.414,0.569,0.753,0.836,90.0,86.7,93.3,77.8,41.3,27.0
31,0.296,0.403,0.411,0.566,0.751,0.834,90.0,86.7,93.3,77.8,41.3,27.0
32,0.294,0.400,0.400,0.562,0.748,0.833,90.0,86.7,95.6,77.8,41.3,28.6
33,0.293,0.398,0.397,0.558,0.746,0.831,90.0,86.7,95.6,77.8,41.3,28.6
34,0.291,0.395,0.393,0.555,0.744,0.829,90.0,86.7,95.6,77.8,41.3,28.6
35,0.290,0.392,0.390,0.552,0.742,0.828,90.0,86.7,95.6,77.8,41.3,28.6
36,0.289,0.390,0.387,0.549,0.738,0.828,90.0,90.0,95.6,80.0,41.3,28.6
37,0.287,0.387,0.384,0.546,0.735,0.827,90.0,90.0,95.6,80.0,41.3,28.6
38,0.286,0.385,0.381,0.542,0.733,0.825,90.0,90.0,95.6,80.0,41.3,28.6
39,0.285,0.383,0.380,0.540,0.731,0.824,90.0,90.0,95.6,80.0,42.9,28.6
4,0.452,0.611,0.642,0.773,0.882,0.912,83.3,73.3,75.6,48.9,15.9,7.9
40,0.284,0.381,0.377,0.540,0.730,0.822,90.0,90.0,95.6,80.0,42.9,28.6
41,0.287,0.379,0.375,0.537,0.728,0.821,93.3,90.0,95.6,80.0,44.4,28.6
42,0.286,0.377,0.372,0.534,0.728,0.820,93.3,90.0,95.6,80.0,44.4,30.2
5,0.426,0.589,0.625,0.763,0.875,0.907,83.3,80.0,77.8,51.1,19.0,7.9
6,0.415,0.575,0.609,0.752,0.869,0.903,83.3,80.0,77.8,55.6,20.6,7.9
7,0.396,0.562,0.591,0.741,0.862,0.899,86.7,80.0,77.8,57.8,22.2,12.7
8,0.386,0.550,0.577,0.731,0.854,0.892,86.7,80.0,77.8,60.0,27.0,15.9
9,0.378,0.539,0.559,0.722,0.846,0.890,86.7,80.0,80.0,62.2,30.2,15.9
