Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.593,0.736,0.770,0.857,0.925,0.949,80.0,56.7,46.7,8.9,6.3,3.2
10,0.426,0.531,0.541,0.700,0.821,0.880,83.3,86.7,84.4,57.8,31.7,15.9
11,0.423,0.525,0.534,0.694,0.813,0.878,83.3,86.7,84.4,57.8,31.7,15.9
12,0.419,0.518,0.528,0.689,0.809,0.878,83.3,86.7,84.4,57.8,31.7,17.5
13,0.416,0.513,0.522,0.683,0.802,0.875,83.3,86.7,84.4,57.8,33.3,17.5
14,0.414,0.508,0.516,0.679,0.799,0.873,83.3,86.7,84.4,57.8,33.3,17.5
15,0.391,0.509,0.511,0.674,0.796,0.871,86.7,86.7,84.4,60.0,33.3,17.5
16,0.388,0.505,0.509,0.670,0.793,0.868,86.7,86.7,84.4,60.0,34.9,17.5
17,0.386,0.501,0.504,0.658,0.791,0.866,86.7,86.7,86.7,62.2,36.5,17.5
18,0.383,0.497,0.500,0.655,0.789,0.865,86.7,86.7,86.7,62.2,36.5,17.5
19,0.381,0.496,0.496,0.654,0.787,0.862,86.7,86.7,86.7,60.0,36.5,20.6
2,0.490,0.619,0.633,0.767,0.873,0.915,80.0,76.7,77.8,51.1,23.8,9.5
20,0.379,0.492,0.496,0.651,0.785,0.860,86.7,86.7,86.7,60.0,36.5,20.6
21,0.377,0.489,0.495,0.640,0.783,0.859,86.7,86.7,91.1,62.2,36.5,20.6
22,0.377,0.491,0.492,0.637,0.779,0.857,86.7,86.7,91.1,64.4,36.5,22.2
23,0.376,0.489,0.489,0.634,0.777,0.856,86.7,86.7,91.1,64.4,36.5,22.2
24,0.375,0.483,0.487,0.631,0.775,0.854,86.7,86.7,91.1,64.4,36.5,23.8
25,0.376,0.481,0.484,0.629,0.773,0.853,86.7,86.7,91.1,64.4,38.1,23.8
26,0.375,0.478,0.482,0.627,0.771,0.846,86.7,86.7,91.1,64.4,38.1,25.4
27,0.374,0.476,0.472,0.624,0.769,0.845,86.7,86.7,93.3,66.7,38.1,25.4
28,0.373,0.474,0.470,0.622,0.766,0.843,86.7,86.7,93.3,66.7,38.1,25.4
29,0.372,0.472,0.469,0.620,0.768,0.842,86.7,86.7,93.3,66.7,38.1,25.4
3,0.482,0.605,0.614,0.752,0.862,0.910,83.3,76.7,75.6,57.8,27.0,11.1
30,0.371,0.470,0.467,0.618,0.767,0.841,86.7,86.7,93.3,66.7,38.1,25.4
31,0.370,0.467,0.465,0.617,0.766,0.839,86.7,86.7,93.3,66.7,38.1,25.4
32,0.370,0.467,0.463,0.611,0.765,0.838,86.7,86.7,93.3,68.9,38.1,25.4
33,0.369,0.461,0.461,0.606,0.763,0.836,86.7,90.0,93.3,68.9,38.1,25.4
34,0.368,0.459,0.459,0.605,0.764,0.834,86.7,90.0,93.3,68.9,38.1,25.4
35,0.372,0.457,0.462,0.603,0.763,0.833,86.7,90.0,91.1,68.9,38.1,25.4
36,0.371,0.455,0.463,0.602,0.762,0.831,86.7,90.0,91.1,68.9,38.1,25.4
37,0.370,0.454,0.462,0.600,0.761,0.830,86.7,90.0,91.1,68.9,38.1,25.4
38,0.369,0.452,0.460,0.601,0.760,0.829,86.7,90.0,91.1,68.9,38.1,25.4
39,0.369,0.452,0.460,0.599,0.758,0.828,86.7,90.0,91.1,68.9,38.1,25.4
4,0.471,0.593,0.600,0.741,0.858,0.904,83.3,76.7,77.8,57.8,27.0,14.3
40,0.368,0.450,0.466,0.598,0.757,0.828,86.7,90.0,91.1,71.1,39.7,25.4
41,0.368,0.448,0.467,0.597,0.756,0.825,86.7,90.0,88.9,71.1,39.7,25.4
42,0.370,0.447,0.465,0.595,0.756,0.824,86.7,90.0,88.9,71.1,39.7,25.4
5,0.463,0.573,0.589,0.731,0.852,0.896,83.3,76.7,80.0,57.8,27.0,14.3
6,0.457,0.563,0.575,0.720,0.844,0.893,80.0,76.7,82.2,60.0,27.0,14.3
7,0.451,0.553,0.565,0.713,0.838,0.889,80.0,83.3,84.4,57.8,27.0,15.9
8,0.445,0.545,0.556,0.709,0.832,0.885,80.0,83.3,84.4,57.8,28.6,15.9
9,0.431,0.538,0.548,0.704,0.825,0.882,83.3,83.3,84.4,57.8,31.7,15.9
