Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.701,0.852,0.886,0.933,0.957,0.966,56.7,16.7,0.0,0.0,3.2,0.0
10,0.379,0.590,0.644,0.786,0.888,0.896,90.0,76.7,75.6,46.7,14.3,11.1
11,0.370,0.570,0.634,0.775,0.881,0.892,90.0,76.7,75.6,48.9,15.9,11.1
12,0.362,0.559,0.617,0.768,0.876,0.890,90.0,76.7,77.8,51.1,15.9,11.1
13,0.354,0.549,0.608,0.761,0.870,0.887,90.0,76.7,77.8,51.1,19.0,11.1
14,0.348,0.539,0.596,0.756,0.867,0.885,90.0,76.7,77.8,51.1,19.0,11.1
15,0.342,0.527,0.586,0.747,0.863,0.883,90.0,76.7,80.0,53.3,19.0,11.1
16,0.336,0.518,0.577,0.740,0.860,0.880,90.0,76.7,80.0,53.3,22.2,12.7
17,0.330,0.514,0.565,0.733,0.857,0.878,90.0,76.7,80.0,55.6,22.2,14.3
18,0.322,0.509,0.555,0.727,0.853,0.876,90.0,76.7,80.0,57.8,22.2,17.5
19,0.317,0.503,0.547,0.721,0.851,0.872,90.0,76.7,80.0,57.8,23.8,20.6
2,0.508,0.726,0.781,0.861,0.925,0.929,83.3,56.7,40.0,15.6,7.9,1.6
20,0.312,0.496,0.540,0.716,0.848,0.871,90.0,76.7,80.0,60.0,27.0,20.6
21,0.307,0.490,0.534,0.710,0.846,0.870,90.0,76.7,82.2,60.0,27.0,20.6
22,0.303,0.484,0.527,0.705,0.842,0.868,90.0,76.7,84.4,60.0,27.0,20.6
23,0.299,0.478,0.520,0.700,0.838,0.866,90.0,76.7,84.4,60.0,27.0,20.6
24,0.295,0.473,0.513,0.696,0.836,0.865,90.0,76.7,84.4,60.0,27.0,22.2
25,0.292,0.468,0.506,0.691,0.829,0.863,90.0,80.0,84.4,62.2,27.0,22.2
26,0.289,0.463,0.500,0.680,0.827,0.861,90.0,80.0,84.4,64.4,27.0,22.2
27,0.285,0.458,0.494,0.675,0.825,0.859,90.0,80.0,84.4,64.4,27.0,22.2
28,0.282,0.444,0.488,0.671,0.809,0.859,90.0,83.3,84.4,66.7,33.3,22.2
29,0.280,0.440,0.483,0.667,0.803,0.857,90.0,83.3,84.4,66.7,34.9,25.4
3,0.488,0.706,0.758,0.848,0.923,0.925,83.3,56.7,48.9,17.8,7.9,1.6
30,0.277,0.436,0.477,0.664,0.801,0.856,90.0,83.3,84.4,66.7,36.5,25.4
31,0.275,0.432,0.472,0.660,0.801,0.855,90.0,83.3,84.4,66.7,36.5,25.4
32,0.272,0.429,0.467,0.656,0.799,0.853,90.0,83.3,84.4,66.7,36.5,25.4
33,0.270,0.425,0.462,0.653,0.797,0.851,90.0,83.3,84.4,66.7,38.1,25.4
34,0.268,0.422,0.457,0.649,0.799,0.851,90.0,83.3,84.4,66.7,36.5,25.4
35,0.267,0.418,0.448,0.645,0.795,0.849,90.0,83.3,88.9,66.7,36.5,25.4
36,0.265,0.413,0.440,0.642,0.793,0.848,90.0,83.3,93.3,66.7,36.5,27.0
37,0.263,0.411,0.438,0.639,0.785,0.847,90.0,83.3,93.3,68.9,38.1,28.6
38,0.261,0.408,0.435,0.636,0.782,0.846,90.0,83.3,93.3,68.9,38.1,28.6
39,0.259,0.405,0.431,0.633,0.778,0.845,90.0,83.3,97.8,68.9,39.7,28.6
4,0.470,0.688,0.738,0.838,0.918,0.920,83.3,56.7,60.0,17.8,9.5,1.6
40,0.258,0.403,0.428,0.630,0.776,0.843,90.0,83.3,97.8,68.9,41.3,27.0
41,0.256,0.400,0.424,0.627,0.769,0.842,90.0,83.3,97.8,68.9,42.9,27.0
42,0.255,0.398,0.421,0.620,0.767,0.842,90.0,83.3,97.8,68.9,42.9,27.0
5,0.455,0.673,0.718,0.828,0.913,0.914,83.3,63.3,62.2,22.2,9.5,4.8
6,0.431,0.657,0.702,0.819,0.909,0.910,83.3,63.3,68.9,28.9,9.5,4.8
7,0.409,0.643,0.685,0.808,0.905,0.907,86.7,66.7,68.9,37.8,9.5,6.3
8,0.398,0.620,0.669,0.800,0.898,0.903,86.7,66.7,73.3,42.2,12.7,9.5
9,0.388,0.602,0.656,0.793,0.891,0.900,86.7,73.3,73.3,44.4,12.7,9.5
