Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.592,0.728,0.768,0.855,0.923,0.944,80.0,56.7,51.1,6.7,6.3,4.8
10,0.436,0.531,0.538,0.702,0.829,0.881,80.0,86.7,84.4,57.8,30.2,17.5
11,0.422,0.525,0.531,0.694,0.826,0.878,83.3,86.7,84.4,57.8,30.2,17.5
12,0.420,0.519,0.529,0.688,0.819,0.875,83.3,86.7,86.7,57.8,33.3,19.0
13,0.420,0.516,0.523,0.683,0.815,0.873,83.3,86.7,86.7,57.8,33.3,19.0
14,0.417,0.510,0.519,0.678,0.812,0.871,83.3,86.7,86.7,57.8,33.3,20.6
15,0.415,0.504,0.514,0.674,0.810,0.868,83.3,86.7,88.9,57.8,34.9,22.2
16,0.413,0.501,0.509,0.670,0.805,0.866,83.3,86.7,88.9,60.0,36.5,22.2
17,0.411,0.497,0.508,0.662,0.803,0.864,83.3,86.7,88.9,62.2,36.5,22.2
18,0.410,0.494,0.506,0.660,0.800,0.865,83.3,86.7,88.9,62.2,36.5,22.2
19,0.408,0.491,0.502,0.654,0.798,0.863,83.3,86.7,91.1,66.7,36.5,22.2
2,0.492,0.615,0.625,0.768,0.870,0.912,80.0,76.7,75.6,51.1,22.2,9.5
20,0.407,0.488,0.498,0.650,0.793,0.862,83.3,86.7,91.1,64.4,34.9,22.2
21,0.405,0.487,0.498,0.647,0.790,0.855,83.3,86.7,91.1,64.4,38.1,23.8
22,0.404,0.485,0.495,0.646,0.789,0.852,83.3,86.7,91.1,66.7,38.1,23.8
23,0.403,0.487,0.493,0.635,0.787,0.852,83.3,86.7,91.1,68.9,38.1,23.8
24,0.403,0.485,0.490,0.632,0.781,0.850,83.3,86.7,91.1,68.9,39.7,25.4
25,0.403,0.483,0.488,0.630,0.779,0.848,83.3,86.7,91.1,68.9,39.7,25.4
26,0.377,0.481,0.485,0.627,0.781,0.843,86.7,86.7,91.1,68.9,39.7,25.4
27,0.377,0.479,0.483,0.626,0.779,0.842,86.7,86.7,91.1,68.9,39.7,27.0
28,0.376,0.477,0.483,0.626,0.779,0.843,86.7,86.7,91.1,68.9,39.7,25.4
29,0.375,0.476,0.481,0.624,0.778,0.841,86.7,86.7,91.1,68.9,39.7,25.4
3,0.480,0.601,0.610,0.756,0.864,0.908,83.3,76.7,77.8,60.0,23.8,11.1
30,0.374,0.474,0.479,0.623,0.776,0.840,86.7,86.7,91.1,68.9,41.3,25.4
31,0.375,0.472,0.477,0.621,0.775,0.839,86.7,86.7,91.1,68.9,41.3,25.4
32,0.375,0.472,0.476,0.619,0.774,0.838,86.7,86.7,91.1,68.9,42.9,25.4
33,0.374,0.476,0.481,0.617,0.772,0.833,86.7,86.7,91.1,68.9,42.9,27.0
34,0.373,0.471,0.483,0.615,0.771,0.831,86.7,90.0,91.1,68.9,42.9,27.0
35,0.373,0.470,0.487,0.613,0.771,0.830,86.7,90.0,88.9,68.9,42.9,28.6
36,0.372,0.466,0.485,0.612,0.770,0.829,86.7,90.0,88.9,71.1,42.9,28.6
37,0.372,0.464,0.484,0.611,0.769,0.828,86.7,90.0,88.9,68.9,42.9,28.6
38,0.371,0.465,0.483,0.610,0.768,0.824,86.7,90.0,88.9,68.9,42.9,30.2
39,0.370,0.463,0.483,0.609,0.767,0.823,86.7,90.0,88.9,68.9,44.4,30.2
4,0.471,0.589,0.596,0.746,0.859,0.903,80.0,80.0,80.0,60.0,25.4,12.7
40,0.370,0.462,0.481,0.607,0.766,0.823,86.7,90.0,88.9,68.9,44.4,30.2
41,0.369,0.461,0.480,0.606,0.762,0.822,86.7,90.0,88.9,68.9,44.4,30.2
42,0.369,0.459,0.480,0.605,0.757,0.820,86.7,90.0,88.9,68.9,44.4,31.7
5,0.463,0.575,0.582,0.736,0.852,0.899,80.0,80.0,82.2,60.0,27.0,12.7
6,0.456,0.566,0.571,0.725,0.846,0.893,80.0,80.0,84.4,60.0,27.0,15.9
7,0.450,0.549,0.560,0.719,0.845,0.889,80.0,83.3,84.4,57.8,27.0,15.9
8,0.445,0.545,0.551,0.711,0.841,0.886,80.0,83.3,84.4,57.8,28.6,17.5
9,0.440,0.538,0.545,0.708,0.833,0.883,80.0,83.3,84.4,57.8,28.6,17.5
